station,target,changes,stops
Weida,Leipzig-Knauthain,0,9
Roßlau(Elbe),Delitzsch unt Bf,0,3
Kodersdorf,Görlitz,0,0
Königsborn,Delitzsch unt Bf,0,8
Weickersdorf(Sachs),Bautzen,0,1
Blönsdorf,Delitzsch unt Bf,0,12
Teufelsmühle,Zittau Vorstadt,0,4
Meerane,Glauchau-Schönbörnchen,0,0
Bremen Hbf,Leipzig/Halle Flughafen,0,7
Pirna-Copitz,Pirna-Copitz,0,0
Kurort Oybin,Zittau Vorstadt,0,5
Neudietendorf,Leipzig-Miltitz,0,14
Stockheim(Oberfr),Leipzig Hbf,0,15
Kämmereiforst,Eilenburg,0,0
Rudolstadt(Thür),Leipzig Hbf,0,6
Ostritz Stadt Dresden,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,1
Leipzig-Lindenau,Leipzig-Lindenau,0,0
Batowice Lubanskie,Görlitz,0,3
Camburg(Saale),Leipzig Hbf,0,2
Stralsund Hbf,Leipzig Hbf,0,11
Ellefeld,Ellefeld,0,0
Ebersbach(Sachs),Zittau,0,2
Chrastava,Zittau,0,1
Norddeich,Leipzig/Halle Flughafen,0,18
Ludwigsstadt,Leipzig Hbf,0,12
Leißling,Leipzig-Miltitz,0,6
Löbau(Sachs),Löbau(Sachs),0,0
Prenzlau,Leipzig Hbf,0,6
Berbisdorf Anbau,Lößnitzgrund,0,6
Sluknov,Dresden Hbf,1,14
München-Pasing,Leipzig Hbf,0,4
Raguhn,Delitzsch unt Bf,0,3
Klitschmar,Delitzsch unt Bf,0,1
Zschaitz,Döbeln Hbf,0,0
Freital-Hainsberg West,Freital-Hainsberg West,0,0
Sedlitz Ost,Großenhain Cottb Bf,0,4
Dohna(Sachs),Dresden-Zschachwitz,1,1
Lohsa,Hoyerswerda-Neustadt,0,0
Hamburg Hbf,Leipzig Hbf,0,4
Rostock Hbf,Dresden-Neustadt,0,6
Förtschendorf,Leipzig Hbf,0,14
Radebeul-Zitzschewig,Radebeul-Zitzschewig,0,0
Bertsdorf,Zittau Vorstadt,0,2
Meißen Triebischtal,Meißen Triebischtal,0,0
Bützow,Dresden-Neustadt,0,7
Plattling,Leipzig Hbf,0,7
Langenwolmsdorf Mitte,Pirna-Copitz Nord,0,4
Magdeburg-Neustadt,Delitzsch unt Bf,0,8
Olbersdorf Oberdorf,Zittau Vorstadt,0,1
Stauchitz,Riesa,0,1
Taucha(Leipzig),Leipzig Hbf,0,0
Eisenach,Leipzig Hbf,0,1
Zerbst/Anhalt,Delitzsch unt Bf,0,5
Pirna,Pirna,0,0
Nassau(Erzgeb),Freiberg(Sachs),0,4
Deutzen Markt,Markkleeberg,0,3
Kubschütz,Bautzen,0,0
Züssow,Leipzig Hbf,0,9
Chemnitz Riemenschneiderstraße,Chemnitz Riemenschneiderstraße,0,0
Chemnitz Theaterplatz,Chemnitz Theaterplatz,0,0
Helmsdorf(Pirna),Pirna-Copitz Nord,0,2
Sehma,Annaberg-Buchholz Süd,0,0
Aalen Hbf,Leipzig Hbf,0,8
Duisburg Hbf,Leipzig/Halle Flughafen,0,13
Leipzig Slevogtstraße,Leipzig Slevogtstraße,0,0
Beucha,Leipzig-Engelsdorf,0,1
Altenbach,Wurzen,0,1
Feilitzsch,Plauen(Vogtl) ob Bf,0,1
Sedzislaw,Görlitz,0,21
Dortmund Hbf,Leipzig/Halle Flughafen,0,10
Schönberg(Vogtl),Plauen(Vogtl) ob Bf,0,2
"Jocketa Talsperrenblick, Pöhl",Plauen(Vogtl) ob Bf (Busbahnhof),0,0
Edle Krone,Freital-Hainsberg West,0,1
Auerbach(V) unt Bf,Auerbach(V) unt Bf,0,0
Bad Liebenwerda,Torgau,0,3
Bad Brambach,Oelsnitz(Vogtl),0,5
Putzkau,Radeberg,0,3
Görlitz-Weinhübel,Görlitz-Weinhübel,0,0
Neukirchen-Klaffenbach,Chemnitz Friedrichstraße,0,1
Rumburk,Dresden Hbf,1,16
Netzschkau,Reichenbach(Vogtl) ob Bf,0,0
Sohl,Oelsnitz(Vogtl),0,3
Zeitz,Leipzig-Knauthain,0,3
Sohland,Zittau,0,3
Großröhrsdorf,Radeberg,0,1
Ebensfeld,Leipzig Hbf,0,24
Adorf(Erzgeb),Chemnitz Friedrichstraße,0,2
Leipzig Wilhelm-Leuschner-Platz,Leipzig Wilhelm-Leuschner-Platz,0,0
"Reuth(b Plauen,Vogtl)",Plauen(Vogtl) ob Bf,0,3
Wilischthal,Annaberg-Buchholz unterer Bf,0,5
Graz Hbf,Dresden Hbf,0,13
Mittelherwigsdorf,Zittau,0,0
Crossen Ort,Leipzig-Knauthain,0,5
Oelsnitz(Erzgeb),Oelsnitz(Erzgeb),0,0
Jena-Zwätzen,Leipzig Hbf,0,5
Jena Paradies,Leipzig Hbf,0,1
Oberoderwitz,Zittau,0,0
Budapest-Nyugati,Dresden Hbf,0,13
Freital-Deuben,Freital-Deuben,0,0
Berthelsdorf(Erzgebirge) Ort,Freiberg(Sachs),0,1
Leipzig Anger-Crottendorf,Leipzig Anger-Crottendorf,0,0
Dresden-Kemnitz,Dresden-Kemnitz,0,0
Seifhennersdorf,Zittau,0,4
Oranienburg,Dresden-Neustadt,0,3
Vierenstraße,Annaberg-Buchholz Süd,1,4
Mannheim Hbf,Leipzig Hbf,0,3
Zittau Hp,Zittau Hp,0,0
Hof Hbf,Plauen(Vogtl) ob Bf,0,0
Dresden-Pieschen,Dresden-Pieschen,0,0
Zittau Vorstadt,Zittau Vorstadt,0,0
Frantiskovy Lazne Aquaforum,Oelsnitz(Vogtl),0,10
Lichtenberg(Erzgeb),Freiberg(Sachs),0,2
Nünchritz,Riesa,0,1
Hainewalde,Zittau,0,1
Lichtenstein(Sachs),Lichtenstein(Sachs),0,0
Olbernhau,Chemnitz Hbf,0,14
Dresden-Cotta,Dresden-Cotta,0,0
Ulberndorf,Dippoldiswalde,0,0
Schmilka-Hirschmühle,Pirna,0,6
Neukirch(Lausitz)West,Radeberg,0,3
Hohenroda,Delitzsch ob Bf,0,0
Varnsdorf,Zittau,0,0
Neukirch(Lausitz)Ost,Radeberg,0,2
Zörnigall,Delitzsch unt Bf,0,9
Chemnitz Schule Altchemnitz,Chemnitz Schule Altchemnitz,0,0
Magdeburg Herrenkrug,Delitzsch unt Bf,0,8
Raun,Oelsnitz(Vogtl),0,4
Zittau,Zittau,0,0
Gundelsdorf,Leipzig Hbf,0,16
Wolfsgefärth,Leipzig-Knauthain,0,10
Blumenau,Chemnitz Hbf,0,12
Pommritz,Löbau(Sachs),0,0
Muldenhütten,Freiberg(Sachs),0,0
Annaberg-Buchholz Mitte,Annaberg-Buchholz Mitte,0,0
Marienhafe,Leipzig/Halle Flughafen,0,16
Glashütte(Sachs),Dresden-Zschachwitz,1,8
Boguszow Gorce,Görlitz,0,24
Valdek,Dresden Hbf,1,15
Markkleeberg Nord,Markkleeberg Nord,0,0
Decin-Priper,Dresden Hbf,1,2
Dahlen(Sachs),Oschatz,0,0
Chemnitz Rösslerstraße,Chemnitz Rösslerstraße,0,0
Bienenmühle,Freiberg(Sachs),0,6
Reichenbach(Vogtl) ob Bf,Reichenbach(Vogtl) ob Bf,0,0
Bad Elster,Oelsnitz(Vogtl),0,2
Delmenhorst,Leipzig/Halle Flughafen,0,8
Wahlitz,Delitzsch unt Bf,0,7
Lauenstein(Sachs),Dresden-Zschachwitz,1,11
Kurort Jonsdorf Hst,Zittau Vorstadt,0,3
Neustadt(Orla),Leipzig-Knauthain,0,12
Glauchau(Sachs),Glauchau(Sachs),0,0
Hetzdorf(Flöhatal),Chemnitz Hbf,0,3
Chemnitz Technopark,Chemnitz Technopark,0,0
Varnsdorf stare nadr,Zittau,0,1
Hirschfelde,Zittau,0,0
Mühlbach(Pirna),Dresden-Zschachwitz,1,5
Kiel Hbf,Leipzig Hbf,0,5
Leipzig Hbf (tief),Leipzig Hbf (tief),0,0
Orlamünde,Leipzig Hbf,0,6
Drebkau,Großenhain Cottb Bf,0,6
Dresden-Reick,Dresden-Reick,0,0
Falkenberg(Elster),Torgau,0,1
Leipzig-Miltitz,Leipzig-Miltitz,0,0
Biederitz,Delitzsch unt Bf,0,7
Gera-Langenberg,Leipzig-Knauthain,0,7
Hermsdorf(Dresden),Dresden-Klotzsche,0,2
Bad Kösen,Leipzig Hbf,0,2
Rybnica,Görlitz,0,13
Leipzig-Wahren,Leipzig-Wahren,0,0
Walbrzych Glowny,Görlitz,0,26
Radeburg,Lößnitzgrund,0,7
Barthmühle,Plauen(Vogtl) Mitte,0,0
Großenhain Cottb Bf,Großenhain Cottb Bf,0,0
Berlin Hbf (tief),Dresden-Neustadt,0,1
Radebeul-Kötzschenbroda,Radebeul-Kötzschenbroda,0,0
Güterglück,Delitzsch unt Bf,0,6
Mitteloelsnitz,Oelsnitz Bahnhofstraße,0,0
Schöna,Pirna,0,7
Schöneck(Vogtl) Ferienpark,Falkenstein(Vogtl),0,3
Luban Sl.,Görlitz,0,5
Chemnitz-Altchemnitz,Chemnitz-Altchemnitz,0,0
Wiesa(Erzgeb),Annaberg-Buchholz unterer Bf,0,0
Warmbad,Annaberg-Buchholz unterer Bf,0,3
Weida Mitte,Leipzig-Knauthain,0,11
Hirschfelde Markt,Zittau,0,0
Stadt Wehlen(Sachs),Pirna,0,1
Saalfeld(Saale),Leipzig Hbf,0,3
Wien Meidling,Dresden Hbf,0,7
Falkenau(Sachs)Süd,Chemnitz-Hilbersdorf,0,2
Mikulasovice dolni nadrazi,Dresden Hbf,1,9
Niederschlottwitz,Dresden-Zschachwitz,1,6
Cottbus Hbf,Weißwasser(Oberlausitz),0,4
Kaulsdorf(Saale),Leipzig Hbf,0,9
Rodleben,Delitzsch unt Bf,0,4
Jena Saalbf,Leipzig Hbf,0,4
Jeßnitz(Anh),Delitzsch unt Bf,0,2
Stollberg(Sachs),Stollberg(Sachs),0,0
Dresden Hbf,Dresden Hbf,0,0
Ellwangen,Leipzig Hbf,0,7
Eilenburg,Eilenburg,0,0
Sättelstädt,Leipzig-Miltitz,0,20
Bad Sulza,Leipzig Hbf,0,6
Zwickau(Sachs)Hbf,Zwickau(Sachs)Hbf,0,0
Dresden-Stetzsch,Dresden-Stetzsch,0,0
Oelsnitz(Vogtl),Oelsnitz(Vogtl),0,0
Halle Dessauer Brücke,Schkeuditz West,0,6
Gera Hbf,Glauchau(Sachs),0,0
Mittweida,Mittweida,0,0
Wutha,Leipzig-Miltitz,0,22
Bad Zwischenahn,Leipzig/Halle Flughafen,0,11
Jerzmanki,Görlitz,0,1
Dresden Bischofsplatz,Dresden Bischofsplatz,0,0
Emden Außenhafen,Leipzig/Halle Flughafen,0,16
Zwota-Zechenbach,Falkenstein(Vogtl),1,5
Flöha,Chemnitz Hbf,0,0
Wünschendorf Nord,Plauen(Vogtl) Mitte,0,9
Dresden Mitte,Dresden Mitte,0,0
Chemnitz Mitte,Chemnitz Mitte,0,0
Hainichen,Chemnitz-Hilbersdorf,0,5
Helmstedt,Leipzig/Halle Flughafen,0,3
Bischofswerda,Bautzen,0,0
