station,target,changes,stops,route_score,route_score_scaled
Weida,Leipzig-Knauthain,0,9,0.1,0.06896551724137932
Roßlau(Elbe),Delitzsch unt Bf,0,3,0.25,0.22413793103448276
Kodersdorf,Görlitz,0,0,1.0,1.0
Königsborn,Delitzsch unt Bf,0,8,0.1111111111111111,0.08045977011494253
Weickersdorf(Sachs),Bautzen,0,1,0.5,0.4827586206896552
Blönsdorf,Delitzsch unt Bf,0,12,0.07692307692307693,0.04509283819628648
Teufelsmühle,Zittau Vorstadt,0,4,0.2,0.1724137931034483
Meerane,Glauchau-Schönbörnchen,0,0,1.0,1.0
Bremen Hbf,Leipzig/Halle Flughafen,0,7,0.125,0.09482758620689656
Pirna-Copitz,Pirna-Copitz,0,0,1.0,1.0
Kurort Oybin,Zittau Vorstadt,0,5,0.16666666666666666,0.13793103448275862
Neudietendorf,Leipzig-Miltitz,0,14,0.06666666666666667,0.034482758620689655
Stockheim(Oberfr),Leipzig Hbf,0,15,0.0625,0.030172413793103453
Kämmereiforst,Eilenburg,0,0,1.0,1.0
Rudolstadt(Thür),Leipzig Hbf,0,6,0.14285714285714285,0.11330049261083745
Ostritz Stadt Dresden,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,1,0.5,0.4827586206896552
Leipzig-Lindenau,Leipzig-Lindenau,0,0,1.0,1.0
Batowice Lubanskie,Görlitz,0,3,0.25,0.22413793103448276
Camburg(Saale),Leipzig Hbf,0,2,0.3333333333333333,0.3103448275862069
Stralsund Hbf,Leipzig Hbf,0,11,0.08333333333333333,0.05172413793103449
Ellefeld,Ellefeld,0,0,1.0,1.0
Ebersbach(Sachs),Zittau,0,2,0.3333333333333333,0.3103448275862069
Chrastava,Zittau,0,1,0.5,0.4827586206896552
Norddeich,Leipzig/Halle Flughafen,0,18,0.05263157894736842,0.019963702359346643
Ludwigsstadt,Leipzig Hbf,0,12,0.07692307692307693,0.04509283819628648
Leißling,Leipzig-Miltitz,0,6,0.14285714285714285,0.11330049261083745
Löbau(Sachs),Löbau(Sachs),0,0,1.0,1.0
Prenzlau,Leipzig Hbf,0,6,0.14285714285714285,0.11330049261083745
Berbisdorf Anbau,Lößnitzgrund,0,6,0.14285714285714285,0.11330049261083745
Sluknov,Dresden Hbf,1,14,0.05,0.017241379310344834
München-Pasing,Leipzig Hbf,0,4,0.2,0.1724137931034483
Raguhn,Delitzsch unt Bf,0,3,0.25,0.22413793103448276
Klitschmar,Delitzsch unt Bf,0,1,0.5,0.4827586206896552
Zschaitz,Döbeln Hbf,0,0,1.0,1.0
Freital-Hainsberg West,Freital-Hainsberg West,0,0,1.0,1.0
Sedlitz Ost,Großenhain Cottb Bf,0,4,0.2,0.1724137931034483
Dohna(Sachs),Dresden-Zschachwitz,1,1,0.14285714285714285,0.11330049261083745
Lohsa,Hoyerswerda-Neustadt,0,0,1.0,1.0
Hamburg Hbf,Leipzig Hbf,0,4,0.2,0.1724137931034483
Rostock Hbf,Dresden-Neustadt,0,6,0.14285714285714285,0.11330049261083745
Förtschendorf,Leipzig Hbf,0,14,0.06666666666666667,0.034482758620689655
Radebeul-Zitzschewig,Radebeul-Zitzschewig,0,0,1.0,1.0
Bertsdorf,Zittau Vorstadt,0,2,0.3333333333333333,0.3103448275862069
Meißen Triebischtal,Meißen Triebischtal,0,0,1.0,1.0
Bützow,Dresden-Neustadt,0,7,0.125,0.09482758620689656
Plattling,Leipzig Hbf,0,7,0.125,0.09482758620689656
Langenwolmsdorf Mitte,Pirna-Copitz Nord,0,4,0.2,0.1724137931034483
Magdeburg-Neustadt,Delitzsch unt Bf,0,8,0.1111111111111111,0.08045977011494253
Olbersdorf Oberdorf,Zittau Vorstadt,0,1,0.5,0.4827586206896552
Stauchitz,Riesa,0,1,0.5,0.4827586206896552
Taucha(Leipzig),Leipzig Hbf,0,0,1.0,1.0
Eisenach,Leipzig Hbf,0,1,0.5,0.4827586206896552
Zerbst/Anhalt,Delitzsch unt Bf,0,5,0.16666666666666666,0.13793103448275862
Pirna,Pirna,0,0,1.0,1.0
Nassau(Erzgeb),Freiberg(Sachs),0,4,0.2,0.1724137931034483
Deutzen Markt,Markkleeberg,0,3,0.25,0.22413793103448276
Kubschütz,Bautzen,0,0,1.0,1.0
Züssow,Leipzig Hbf,0,9,0.1,0.06896551724137932
Chemnitz Riemenschneiderstraße,Chemnitz Riemenschneiderstraße,0,0,1.0,1.0
Chemnitz Theaterplatz,Chemnitz Theaterplatz,0,0,1.0,1.0
Helmsdorf(Pirna),Pirna-Copitz Nord,0,2,0.3333333333333333,0.3103448275862069
Sehma,Annaberg-Buchholz Süd,0,0,1.0,1.0
Aalen Hbf,Leipzig Hbf,0,8,0.1111111111111111,0.08045977011494253
Duisburg Hbf,Leipzig/Halle Flughafen,0,13,0.07142857142857142,0.0394088669950739
Leipzig Slevogtstraße,Leipzig Slevogtstraße,0,0,1.0,1.0
Beucha,Leipzig-Engelsdorf,0,1,0.5,0.4827586206896552
Altenbach,Wurzen,0,1,0.5,0.4827586206896552
Feilitzsch,Plauen(Vogtl) ob Bf,0,1,0.5,0.4827586206896552
Sedzislaw,Görlitz,0,21,0.045454545454545456,0.01253918495297806
Dortmund Hbf,Leipzig/Halle Flughafen,0,10,0.09090909090909091,0.059561128526645774
Schönberg(Vogtl),Plauen(Vogtl) ob Bf,0,2,0.3333333333333333,0.3103448275862069
"Jocketa Talsperrenblick, Pöhl",Plauen(Vogtl) ob Bf (Busbahnhof),0,0,1.0,1.0
Edle Krone,Freital-Hainsberg West,0,1,0.5,0.4827586206896552
Auerbach(V) unt Bf,Auerbach(V) unt Bf,0,0,1.0,1.0
Bad Liebenwerda,Torgau,0,3,0.25,0.22413793103448276
Bad Brambach,Oelsnitz(Vogtl),0,5,0.16666666666666666,0.13793103448275862
Putzkau,Radeberg,0,3,0.25,0.22413793103448276
Görlitz-Weinhübel,Görlitz-Weinhübel,0,0,1.0,1.0
Neukirchen-Klaffenbach,Chemnitz Friedrichstraße,0,1,0.5,0.4827586206896552
Rumburk,Dresden Hbf,1,16,0.045454545454545456,0.01253918495297806
Netzschkau,Reichenbach(Vogtl) ob Bf,0,0,1.0,1.0
Sohl,Oelsnitz(Vogtl),0,3,0.25,0.22413793103448276
Zeitz,Leipzig-Knauthain,0,3,0.25,0.22413793103448276
Sohland,Zittau,0,3,0.25,0.22413793103448276
Großröhrsdorf,Radeberg,0,1,0.5,0.4827586206896552
Ebensfeld,Leipzig Hbf,0,24,0.04,0.006896551724137938
Adorf(Erzgeb),Chemnitz Friedrichstraße,0,2,0.3333333333333333,0.3103448275862069
Leipzig Wilhelm-Leuschner-Platz,Leipzig Wilhelm-Leuschner-Platz,0,0,1.0,1.0
"Reuth(b Plauen,Vogtl)",Plauen(Vogtl) ob Bf,0,3,0.25,0.22413793103448276
Wilischthal,Annaberg-Buchholz unterer Bf,0,5,0.16666666666666666,0.13793103448275862
Graz Hbf,Dresden Hbf,0,13,0.07142857142857142,0.0394088669950739
Mittelherwigsdorf,Zittau,0,0,1.0,1.0
Crossen Ort,Leipzig-Knauthain,0,5,0.16666666666666666,0.13793103448275862
Oelsnitz(Erzgeb),Oelsnitz(Erzgeb),0,0,1.0,1.0
Jena-Zwätzen,Leipzig Hbf,0,5,0.16666666666666666,0.13793103448275862
Jena Paradies,Leipzig Hbf,0,1,0.5,0.4827586206896552
Oberoderwitz,Zittau,0,0,1.0,1.0
Budapest-Nyugati,Dresden Hbf,0,13,0.07142857142857142,0.0394088669950739
Freital-Deuben,Freital-Deuben,0,0,1.0,1.0
Berthelsdorf(Erzgebirge) Ort,Freiberg(Sachs),0,1,0.5,0.4827586206896552
Leipzig Anger-Crottendorf,Leipzig Anger-Crottendorf,0,0,1.0,1.0
Dresden-Kemnitz,Dresden-Kemnitz,0,0,1.0,1.0
Seifhennersdorf,Zittau,0,4,0.2,0.1724137931034483
Oranienburg,Dresden-Neustadt,0,3,0.25,0.22413793103448276
Vierenstraße,Annaberg-Buchholz Süd,1,4,0.1,0.06896551724137932
Mannheim Hbf,Leipzig Hbf,0,3,0.25,0.22413793103448276
Zittau Hp,Zittau Hp,0,0,1.0,1.0
Hof Hbf,Plauen(Vogtl) ob Bf,0,0,1.0,1.0
Dresden-Pieschen,Dresden-Pieschen,0,0,1.0,1.0
Zittau Vorstadt,Zittau Vorstadt,0,0,1.0,1.0
Frantiskovy Lazne Aquaforum,Oelsnitz(Vogtl),0,10,0.09090909090909091,0.059561128526645774
Lichtenberg(Erzgeb),Freiberg(Sachs),0,2,0.3333333333333333,0.3103448275862069
Nünchritz,Riesa,0,1,0.5,0.4827586206896552
Hainewalde,Zittau,0,1,0.5,0.4827586206896552
Lichtenstein(Sachs),Lichtenstein(Sachs),0,0,1.0,1.0
Olbernhau,Chemnitz Hbf,0,14,0.06666666666666667,0.034482758620689655
Dresden-Cotta,Dresden-Cotta,0,0,1.0,1.0
Ulberndorf,Dippoldiswalde,0,0,1.0,1.0
Schmilka-Hirschmühle,Pirna,0,6,0.14285714285714285,0.11330049261083745
Neukirch(Lausitz)West,Radeberg,0,3,0.25,0.22413793103448276
Hohenroda,Delitzsch ob Bf,0,0,1.0,1.0
Varnsdorf,Zittau,0,0,1.0,1.0
Neukirch(Lausitz)Ost,Radeberg,0,2,0.3333333333333333,0.3103448275862069
Zörnigall,Delitzsch unt Bf,0,9,0.1,0.06896551724137932
Chemnitz Schule Altchemnitz,Chemnitz Schule Altchemnitz,0,0,1.0,1.0
Magdeburg Herrenkrug,Delitzsch unt Bf,0,8,0.1111111111111111,0.08045977011494253
Raun,Oelsnitz(Vogtl),0,4,0.2,0.1724137931034483
Zittau,Zittau,0,0,1.0,1.0
Gundelsdorf,Leipzig Hbf,0,16,0.058823529411764705,0.026369168356997978
Wolfsgefärth,Leipzig-Knauthain,0,10,0.09090909090909091,0.059561128526645774
Blumenau,Chemnitz Hbf,0,12,0.07692307692307693,0.04509283819628648
Pommritz,Löbau(Sachs),0,0,1.0,1.0
Muldenhütten,Freiberg(Sachs),0,0,1.0,1.0
Annaberg-Buchholz Mitte,Annaberg-Buchholz Mitte,0,0,1.0,1.0
Marienhafe,Leipzig/Halle Flughafen,0,16,0.058823529411764705,0.026369168356997978
Glashütte(Sachs),Dresden-Zschachwitz,1,8,0.07142857142857142,0.0394088669950739
Boguszow Gorce,Görlitz,0,24,0.04,0.006896551724137938
Valdek,Dresden Hbf,1,15,0.047619047619047616,0.014778325123152712
Markkleeberg Nord,Markkleeberg Nord,0,0,1.0,1.0
Decin-Priper,Dresden Hbf,1,2,0.125,0.09482758620689656
Dahlen(Sachs),Oschatz,0,0,1.0,1.0
Chemnitz Rösslerstraße,Chemnitz Rösslerstraße,0,0,1.0,1.0
Bienenmühle,Freiberg(Sachs),0,6,0.14285714285714285,0.11330049261083745
Reichenbach(Vogtl) ob Bf,Reichenbach(Vogtl) ob Bf,0,0,1.0,1.0
Bad Elster,Oelsnitz(Vogtl),0,2,0.3333333333333333,0.3103448275862069
Delmenhorst,Leipzig/Halle Flughafen,0,8,0.1111111111111111,0.08045977011494253
Wahlitz,Delitzsch unt Bf,0,7,0.125,0.09482758620689656
