station,target,changes,stops
Weida,Leipzig-Knauthain,0,9
Roßlau(Elbe),Leipzig Messe,0,4
Kodersdorf,Görlitz,0,0
Königsborn,Leipzig Messe,0,9
Weickersdorf(Sachs),Bautzen,0,1
Blönsdorf,Leipzig Messe,0,15
Teufelsmühle,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,11
Meerane,Zwickau(Sachs)Hbf,1,1
Bremen Hbf,Leipzig/Halle Flughafen,0,7
Pirna-Copitz,Dresden-Zschachwitz,1,4
Kurort Oybin,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,12
Neudietendorf,Leipzig-Miltitz,0,14
Stockheim(Oberfr),Leipzig Hbf,0,15
Kämmereiforst,Leipzig Hbf,1,2
Rudolstadt(Thür),Leipzig Hbf,0,6
Ostritz Stadt Dresden,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,1
Leipzig-Lindenau,Leipzig-Lindenau,0,0
Batowice Lubanskie,Görlitz,0,3
Camburg(Saale),Leipzig Hbf,0,2
Stralsund Hbf,Leipzig Hbf,0,11
Ellefeld,Zwickau(Sachs)Hbf,0,6
Ebersbach(Sachs),Dresden-Klotzsche,0,5
Chrastava,Dresden-Klotzsche,0,10
Norddeich,Leipzig/Halle Flughafen,0,18
Ludwigsstadt,Leipzig Hbf,0,12
Leißling,Leipzig-Miltitz,0,6
Löbau(Sachs),Bautzen,0,0
Prenzlau,Leipzig Hbf,0,6
Berbisdorf Anbau,Dresden-Trachau,1,9
Sluknov,Dresden Hbf,1,14
München-Pasing,Leipzig Hbf,0,4
Raguhn,Leipzig Messe,0,4
Klitschmar,Leipzig Messe,1,2
Zschaitz,Chemnitz Hbf,0,7
Freital-Hainsberg West,Dresden-Plauen,0,3
Sedlitz Ost,Dresden-Neustadt,0,8
Dohna(Sachs),Dresden-Zschachwitz,1,1
Lohsa,Hoyerswerda-Neustadt,0,0
Hamburg Hbf,Leipzig Hbf,0,4
Rostock Hbf,Dresden-Neustadt,0,6
Förtschendorf,Leipzig Hbf,0,14
Radebeul-Zitzschewig,Dresden-Neustadt,0,1
Bertsdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,9
Meißen Triebischtal,Dresden-Neustadt,0,4
Bützow,Dresden-Neustadt,0,7
Plattling,Leipzig Hbf,0,7
Langenwolmsdorf Mitte,Dresden-Zschachwitz,1,10
Magdeburg-Neustadt,Leipzig Messe,0,9
Olbersdorf Oberdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,8
Stauchitz,Chemnitz Hbf,0,9
Taucha(Leipzig),Leipzig Hbf,0,0
Eisenach,Leipzig Hbf,0,1
Zerbst/Anhalt,Leipzig Messe,0,6
Pirna,Dresden-Zschachwitz,0,3
Nassau(Erzgeb),Chemnitz Hbf,1,6
Deutzen Markt,Leipzig-Connewitz,0,5
Kubschütz,Bautzen,0,0
Züssow,Leipzig Hbf,0,9
Chemnitz Riemenschneiderstraße,Chemnitz Riemenschneiderstraße,0,0
Chemnitz Theaterplatz,Chemnitz Theaterplatz,0,0
Helmsdorf(Pirna),Dresden-Zschachwitz,1,8
Sehma,Chemnitz Hbf,0,18
Aalen Hbf,Leipzig Hbf,0,8
Duisburg Hbf,Leipzig/Halle Flughafen,0,13
Leipzig Slevogtstraße,Leipzig Slevogtstraße,0,0
Beucha,Leipzig-Engelsdorf,0,1
Altenbach,Leipzig-Engelsdorf,0,3
Feilitzsch,Plauen(Vogtl) ob Bf,0,1
Sedzislaw,Görlitz,0,21
Dortmund Hbf,Leipzig/Halle Flughafen,0,10
Schönberg(Vogtl),Plauen(Vogtl) ob Bf,0,2
"Jocketa Talsperrenblick, Pöhl",Plauen(Vogtl) ob Bf (Busbahnhof),0,0
Edle Krone,Dresden-Plauen,0,5
Auerbach(V) unt Bf,Zwickau(Sachs)Hbf,0,5
Bad Liebenwerda,Hoyerswerda,0,7
Bad Brambach,Plauen(Vogtl)West,0,8
Putzkau,Dresden-Klotzsche,0,4
Görlitz-Weinhübel,Görlitz-Weinhübel,0,0
Neukirchen-Klaffenbach,Chemnitz Friedrichstraße,0,1
Rumburk,Dresden Hbf,1,16
Netzschkau,Zwickau(Sachs)Hbf,0,4
Sohl,Plauen(Vogtl)West,0,6
Zeitz,Leipzig-Knauthain,0,3
Sohland,Dresden-Klotzsche,0,5
Großröhrsdorf,Dresden-Klotzsche,0,3
Ebensfeld,Leipzig Hbf,0,24
Adorf(Erzgeb),Chemnitz Friedrichstraße,0,2
Leipzig Wilhelm-Leuschner-Platz,Leipzig Wilhelm-Leuschner-Platz,0,0
"Reuth(b Plauen,Vogtl)",Plauen(Vogtl) ob Bf,0,3
Wilischthal,Chemnitz Hbf,0,9
Graz Hbf,Dresden Hbf,0,13
Mittelherwigsdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,4
Crossen Ort,Leipzig-Knauthain,0,5
Oelsnitz(Erzgeb),Zwickau(Sachs)Hbf,1,8
Jena-Zwätzen,Leipzig Hbf,0,5
Jena Paradies,Leipzig Hbf,0,1
Oberoderwitz,Dresden-Klotzsche,0,7
Budapest-Nyugati,Dresden Hbf,0,13
Freital-Deuben,Dresden-Plauen,0,1
Berthelsdorf(Erzgebirge) Ort,Chemnitz Hbf,1,3
Leipzig Anger-Crottendorf,Leipzig Anger-Crottendorf,0,0
Dresden-Kemnitz,Dresden-Kemnitz,0,0
Seifhennersdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,8
Oranienburg,Dresden-Neustadt,0,3
Vierenstraße,Chemnitz Hbf,1,22
Mannheim Hbf,Leipzig Hbf,0,3
Zittau Hp,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,4
Hof Hbf,Plauen(Vogtl) ob Bf,0,0
Dresden-Pieschen,Dresden-Pieschen,0,0
Zittau Vorstadt,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,6
Frantiskovy Lazne Aquaforum,Plauen(Vogtl)West,0,13
Lichtenberg(Erzgeb),Chemnitz Hbf,1,4
Nünchritz,Dresden-Neustadt,0,4
Hainewalde,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,5
Lichtenstein(Sachs),Zwickau(Sachs)Hbf,1,4
Olbernhau,Chemnitz Hbf,0,14
Dresden-Cotta,Dresden-Cotta,0,0
Ulberndorf,Dresden-Plauen,1,9
Schmilka-Hirschmühle,Dresden-Zschachwitz,0,10
Neukirch(Lausitz)West,Dresden-Klotzsche,0,4
Hohenroda,Leipzig Messe,1,3
Varnsdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,4
Neukirch(Lausitz)Ost,Dresden-Klotzsche,0,3
Zörnigall,Leipzig Messe,0,12
Chemnitz Schule Altchemnitz,Chemnitz Schule Altchemnitz,0,0
Magdeburg Herrenkrug,Leipzig Messe,0,9
Raun,Plauen(Vogtl)West,0,7
Zittau,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,3
Gundelsdorf,Leipzig Hbf,0,16
Wolfsgefärth,Leipzig-Knauthain,0,10
Blumenau,Chemnitz Hbf,0,12
Pommritz,Bautzen,0,1
Muldenhütten,Chemnitz-Hilbersdorf,0,7
Annaberg-Buchholz Mitte,Chemnitz Hbf,0,16
Marienhafe,Leipzig/Halle Flughafen,0,16
Glashütte(Sachs),Dresden-Zschachwitz,1,8
Boguszow Gorce,Görlitz,0,24
Valdek,Dresden Hbf,1,15
Markkleeberg Nord,Leipzig-Connewitz,0,0
Decin-Priper,Dresden Hbf,1,2
Dahlen(Sachs),Leipzig-Engelsdorf,0,3
Chemnitz Rösslerstraße,Chemnitz Rösslerstraße,0,0
Bienenmühle,Chemnitz Hbf,1,8
Reichenbach(Vogtl) ob Bf,Zwickau(Sachs)Hbf,0,0
Bad Elster,Plauen(Vogtl)West,0,5
Delmenhorst,Leipzig/Halle Flughafen,0,8
Wahlitz,Leipzig Messe,0,8
Lauenstein(Sachs),Dresden-Zschachwitz,1,11
Kurort Jonsdorf Hst,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,10
Neustadt(Orla),Leipzig-Knauthain,0,12
Glauchau(Sachs),Zwickau(Sachs)Hbf,0,0
Hetzdorf(Flöhatal),Chemnitz Hbf,0,3
Chemnitz Technopark,Chemnitz Technopark,0,0
Varnsdorf stare nadr,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,5
Hirschfelde,Görlitz-Weinhübel,0,2
Mühlbach(Pirna),Dresden-Zschachwitz,1,5
Kiel Hbf,Leipzig Hbf,0,5
Leipzig Hbf (tief),Leipzig Hbf (tief),0,0
Orlamünde,Leipzig Hbf,0,6
Drebkau,Dresden-Neustadt,0,10
Dresden-Reick,Dresden-Reick,0,0
Falkenberg(Elster),Leipzig Hbf,0,4
Leipzig-Miltitz,Leipzig-Miltitz,0,0
Biederitz,Leipzig Messe,0,8
Gera-Langenberg,Leipzig-Knauthain,0,7
Hermsdorf(Dresden),Dresden-Klotzsche,0,2
Bad Kösen,Leipzig Hbf,0,2
Rybnica,Görlitz,0,13
Leipzig-Wahren,Leipzig-Wahren,0,0
Walbrzych Glowny,Görlitz,0,26
Radeburg,Dresden-Trachau,1,10
Barthmühle,Plauen(Vogtl) Mitte,0,0
Großenhain Cottb Bf,Dresden-Neustadt,0,3
Berlin Hbf (tief),Dresden-Neustadt,0,1
Radebeul-Kötzschenbroda,Dresden-Trachau,0,2
Güterglück,Leipzig Messe,0,7
Mitteloelsnitz,Chemnitz Friedrichstraße,1,9
Schöna,Dresden-Zschachwitz,0,11
Schöneck(Vogtl) Ferienpark,Zwickau(Sachs)Hbf,0,11
Luban Sl.,Görlitz,0,5
Chemnitz-Altchemnitz,Chemnitz-Altchemnitz,0,0
Wiesa(Erzgeb),Chemnitz Hbf,0,14
Warmbad,Chemnitz Hbf,0,11
Weida Mitte,Leipzig-Knauthain,0,11
Hirschfelde Markt,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,2
Stadt Wehlen(Sachs),Dresden-Zschachwitz,0,5
Saalfeld(Saale),Leipzig Hbf,0,3
Wien Meidling,Dresden Hbf,0,7
Falkenau(Sachs)Süd,Chemnitz-Hilbersdorf,0,2
Mikulasovice dolni nadrazi,Dresden Hbf,1,9
Niederschlottwitz,Dresden-Zschachwitz,1,6
Cottbus Hbf,Leipzig Hbf,0,8
Kaulsdorf(Saale),Leipzig Hbf,0,9
Rodleben,Leipzig Messe,0,5
Jena Saalbf,Leipzig Hbf,0,4
Jeßnitz(Anh),Leipzig Messe,0,3
Stollberg(Sachs),Chemnitz Friedrichstraße,0,7
Dresden Hbf,Dresden Hbf,0,0
Ellwangen,Leipzig Hbf,0,7
Eilenburg,Leipzig Hbf,0,1
Sättelstädt,Leipzig-Miltitz,0,20
Bad Sulza,Leipzig Hbf,0,6
Zwickau(Sachs)Hbf,Zwickau(Sachs)Hbf,0,0
Dresden-Stetzsch,Dresden-Stetzsch,0,0
Oelsnitz(Vogtl),Plauen(Vogtl)West,0,2
Halle Dessauer Brücke,Leipzig-Lützschena,0,8
Gera Hbf,Leipzig-Knauthain,0,7
Mittweida,Chemnitz Hbf,0,0
Wutha,Leipzig-Miltitz,0,22
Bad Zwischenahn,Leipzig/Halle Flughafen,0,11
Jerzmanki,Görlitz,0,1
Dresden Bischofsplatz,Dresden Bischofsplatz,0,0
Emden Außenhafen,Leipzig/Halle Flughafen,0,16
Zwota-Zechenbach,Zwickau(Sachs)Hbf,1,13
Flöha,Chemnitz Hbf,0,0
Wünschendorf Nord,Plauen(Vogtl) Mitte,0,9
Dresden Mitte,Dresden Mitte,0,0
Chemnitz Mitte,Chemnitz Mitte,0,0
Hainichen,Chemnitz-Hilbersdorf,0,5
Helmstedt,Leipzig/Halle Flughafen,0,3
Bischofswerda,Bautzen,0,0
Leipzig Miltitzer Allee,Leipzig Miltitzer Allee,0,0
Neumühle(Elster),Plauen(Vogtl) Mitte,0,6
Limmritz(Sachs),Chemnitz Hbf,0,5
Nürnberg Hbf,Leipzig Hbf,0,2
Niesky,Görlitz,0,1
Chemnitz Schneeberger Straße,Chemnitz Schneeberger Straße,0,0
Thermalbad Wiesenbad,Chemnitz Hbf,0,13
Burgstädt,Chemnitz Hbf,0,0
Vaihingen(Enz),Leipzig Hbf,0,12
Leipzig-Sellerhausen,Leipzig-Sellerhausen,0,0
Dresden-Friedrichstadt,Dresden-Friedrichstadt,0,0
Bärnsdorf,Dresden-Trachau,1,7
Neustadt(Sachs),Dresden-Zschachwitz,1,12
Markkleeberg-Gaschwitz,Leipzig-Connewitz,0,3
Gryfow Sl.,Görlitz,0,8
Bergwitz,Leipzig Messe,0,9
Ebing,Leipzig Hbf,0,26
Markkleeberg-Großstädteln,Leipzig-Connewitz,0,2
Crossen a d Elster,Leipzig-Knauthain,0,6
Zoblitz,Görlitz-Rauschwalde,0,2
Leipzig Völkerschlachtdenkmal,Leipzig Völkerschlachtdenkmal,0,0
Leipzig MDR,Leipzig MDR,0,0
Finsterwalde(Niederlausitz),Leipzig Hbf,0,6
Dittersbach,Chemnitz-Hilbersdorf,0,4
Burgkemnitz,Leipzig Messe,0,6
Geithain,Leipzig Hbf,0,1
Chemnitz Schillerplatz,Chemnitz Schillerplatz,0,0
Peißen,Leipzig/Halle Flughafen,1,1
Freital-Hainsberg,Dresden-Plauen,0,2
Hartmannmühle,Dresden-Zschachwitz,1,12
Jesewitz(Leipzig),Leipzig Hbf,0,1
Goßdorf-Kohlmühle,Dresden Hbf,1,3
Leipzig-Möckern,Leipzig-Möckern,0,0
Krzewina Zgorzelecka,Görlitz-Weinhübel,0,1
Dolni Zleb zast.,Dresden Hbf,1,3
Kurort Rathen,Dresden-Zschachwitz,0,6
Chemnitz Süd,Chemnitz Süd,0,0
Porstendorf,Leipzig Hbf,0,4
Köln Hbf,Leipzig/Halle Flughafen,0,14
Zirovice-Seniky,Plauen(Vogtl)West,0,11
Tautenhain,Leipzig-Liebertwolkwitz,0,7
Erlangen,Leipzig Hbf,0,1
Prösen Ost,Dresden Hbf,0,7
Triptis,Leipzig-Knauthain,0,11
Pößneck ob Bf,Leipzig-Knauthain,0,13
Weixdorf Bad,Dresden-Klotzsche,0,0
Plauen(Vogtl) ob Bf (Busbahnhof),Plauen(Vogtl) ob Bf (Busbahnhof),0,0
Chemnitz Hbf (Bahnhofstraße),Chemnitz Hbf (Bahnhofstraße),0,0
Plauen(Vogtl) Mitte,Plauen(Vogtl) Mitte,0,0
Bagenz,Görlitz,1,8
Anklam,Leipzig Hbf,0,8
Königsbrück,Dresden-Klotzsche,0,7
Würzburg Hbf,Leipzig Hbf,0,2
Clausnitz,Chemnitz Hbf,1,7
Muldenstein,Leipzig Messe,0,5
Antonsthal,Zwickau-Schedewitz,0,13
Leipzig-Knauthain,Leipzig-Knauthain,0,0
Neumark(Sachs),Zwickau(Sachs)Hbf,0,2
Olszyna Lubanska,Görlitz,0,6
Nove Zamky,Dresden Hbf,0,8
Obercarsdorf,Dresden-Plauen,1,10
Neusalza-Spremberg,Dresden-Klotzsche,0,6
Michelau(Oberfr),Leipzig Hbf,0,21
Zahna,Leipzig Messe,0,14
Berga(Elster),Plauen(Vogtl) Mitte,0,7
Halle Zoo,Leipzig-Lützschena,0,9
Markkleeberg,Leipzig-Connewitz,0,1
Großkugel,Leipzig-Lützschena,0,2
