station,target,changes,stops,route_score,route_score_scaled
Weida,Leipzig-Knauthain,0,9,0.1,0.07187500000000001
Roßlau(Elbe),Leipzig Messe,0,4,0.2,0.17500000000000002
Kodersdorf,Görlitz,0,0,1.0,1.0
Königsborn,Leipzig Messe,0,9,0.1,0.07187500000000001
Weickersdorf(Sachs),Bautzen,0,1,0.5,0.484375
Blönsdorf,Leipzig Messe,0,15,0.0625,0.033203125
Teufelsmühle,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,11,0.058823529411764705,0.029411764705882353
Meerane,Zwickau(Sachs)Hbf,1,1,0.14285714285714285,0.11607142857142858
Bremen Hbf,Leipzig/Halle Flughafen,0,7,0.125,0.09765625
Pirna-Copitz,Dresden-Zschachwitz,1,4,0.1,0.07187500000000001
Kurort Oybin,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,12,0.05555555555555555,0.026041666666666664
Neudietendorf,Leipzig-Miltitz,0,14,0.06666666666666667,0.037500000000000006
Stockheim(Oberfr),Leipzig Hbf,0,15,0.0625,0.033203125
Kämmereiforst,Leipzig Hbf,1,2,0.125,0.09765625
Rudolstadt(Thür),Leipzig Hbf,0,6,0.14285714285714285,0.11607142857142858
Ostritz Stadt Dresden,Görlitz-Weinhübel Joh.-R.-Becher-Straße,0,1,0.5,0.484375
Leipzig-Lindenau,Leipzig-Lindenau,0,0,1.0,1.0
Batowice Lubanskie,Görlitz,0,3,0.25,0.2265625
Camburg(Saale),Leipzig Hbf,0,2,0.3333333333333333,0.3125
Stralsund Hbf,Leipzig Hbf,0,11,0.08333333333333333,0.0546875
Ellefeld,Zwickau(Sachs)Hbf,0,6,0.14285714285714285,0.11607142857142858
Ebersbach(Sachs),Dresden-Klotzsche,0,5,0.16666666666666666,0.140625
Chrastava,Dresden-Klotzsche,0,10,0.09090909090909091,0.0625
Norddeich,Leipzig/Halle Flughafen,0,18,0.05263157894736842,0.02302631578947368
Ludwigsstadt,Leipzig Hbf,0,12,0.07692307692307693,0.04807692307692309
Leißling,Leipzig-Miltitz,0,6,0.14285714285714285,0.11607142857142858
Löbau(Sachs),Bautzen,0,0,1.0,1.0
Prenzlau,Leipzig Hbf,0,6,0.14285714285714285,0.11607142857142858
Berbisdorf Anbau,Dresden-Trachau,1,9,0.06666666666666667,0.037500000000000006
Sluknov,Dresden Hbf,1,14,0.05,0.020312500000000004
München-Pasing,Leipzig Hbf,0,4,0.2,0.17500000000000002
Raguhn,Leipzig Messe,0,4,0.2,0.17500000000000002
Klitschmar,Leipzig Messe,1,2,0.125,0.09765625
Zschaitz,Chemnitz Hbf,0,7,0.125,0.09765625
Freital-Hainsberg West,Dresden-Plauen,0,3,0.25,0.2265625
Sedlitz Ost,Dresden-Neustadt,0,8,0.1111111111111111,0.08333333333333333
Dohna(Sachs),Dresden-Zschachwitz,1,1,0.14285714285714285,0.11607142857142858
Lohsa,Hoyerswerda-Neustadt,0,0,1.0,1.0
Hamburg Hbf,Leipzig Hbf,0,4,0.2,0.17500000000000002
Rostock Hbf,Dresden-Neustadt,0,6,0.14285714285714285,0.11607142857142858
Förtschendorf,Leipzig Hbf,0,14,0.06666666666666667,0.037500000000000006
Radebeul-Zitzschewig,Dresden-Neustadt,0,1,0.5,0.484375
Bertsdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,9,0.06666666666666667,0.037500000000000006
Meißen Triebischtal,Dresden-Neustadt,0,4,0.2,0.17500000000000002
Bützow,Dresden-Neustadt,0,7,0.125,0.09765625
Plattling,Leipzig Hbf,0,7,0.125,0.09765625
Langenwolmsdorf Mitte,Dresden-Zschachwitz,1,10,0.0625,0.033203125
Magdeburg-Neustadt,Leipzig Messe,0,9,0.1,0.07187500000000001
Olbersdorf Oberdorf,Görlitz-Weinhübel Joh.-R.-Becher-Straße,1,8,0.07142857142857142,0.04241071428571429
Stauchitz,Chemnitz Hbf,0,9,0.1,0.07187500000000001
Taucha(Leipzig),Leipzig Hbf,0,0,1.0,1.0
Eisenach,Leipzig Hbf,0,1,0.5,0.484375
