station,n_departures,departures_scaled,departures_ratio
Muldenberg Floßplatz,33,0.04730831973898859,1.375
Schöneck(Vogtl) Ferienpark,60,0.09135399673735727,2.5
Adorf(Vogtl),34,0.048939641109298535,1.4166666666666667
Arnsdorf(Dresden),91,0.14192495921696574,3.7916666666666665
Leipzig Anger-Crottendorf,76,0.11745513866231648,3.1666666666666665
Auerbach(V) ob Bf,34,0.048939641109298535,1.4166666666666667
Auerbach(V) unt Bf,32,0.04567699836867863,1.3333333333333333
Bad Schandau,130,0.20554649265905384,5.416666666666667
Bautzen,71,0.10929853181076672,2.9583333333333335
Kürbitz,58,0.08809135399673736,2.4166666666666665
Berthelsdorf(Erzgeb),16,0.019575856443719414,0.6666666666666666
Beucha,58,0.08809135399673736,2.4166666666666665
Bischofswerda,113,0.17781402936378465,4.708333333333333
Borsdorf(Sachs),174,0.27732463295269166,7.25
Coswig(b Dresden),228,0.36541598694942906,9.5
Cranzahl,22,0.029363784665579123,0.9166666666666666
Delitzsch unt Bf,111,0.17455138662316474,4.625
Döbeln Hbf,72,0.11092985318107668,3.0
Dresden Hbf,617,1.0,25.708333333333332
Dresden-Klotzsche,243,0.3898858075040783,10.125
Dresden-Neustadt,488,0.7895595432300164,20.333333333333332
Dürrröhrsdorf,34,0.048939641109298535,1.4166666666666667
Ebersbach(Sachs),41,0.06035889070146819,1.7083333333333333
Eibau,23,0.03099510603588907,0.9583333333333334
Eilenburg,112,0.1761827079934747,4.666666666666667
Falkenstein(Vogtl),68,0.10440456769983687,2.8333333333333335
Flöha,140,0.22185970636215335,5.833333333333333
Freiberg(Sachs),105,0.16476345840130505,4.375
Freital-Hainsberg,88,0.1370309951060359,3.6666666666666665
Geithain,110,0.1729200652528548,4.583333333333333
Glauchau(Sachs),164,0.26101141924959215,6.833333333333333
Glauchau-Schönbörnchen,69,0.10603588907014683,2.875
Görlitz,196,0.31321370309951063,8.166666666666666
Großbothen,34,0.048939641109298535,1.4166666666666667
Eilenburg Ost,67,0.10277324632952692,2.7916666666666665
Heidenau,210,0.3360522022838499,8.75
Herlasgrün,76,0.11745513866231648,3.1666666666666665
Horka,81,0.12561174551386622,3.375
Hoyerswerda,57,0.08646003262642742,2.375
Chemnitz Hbf,341,0.5497553017944535,14.208333333333334
Chemnitz Süd,118,0.1859706362153344,4.916666666666667
Leipzig Karlsruher Str,82,0.12724306688417616,3.4166666666666665
Leipzig Hbf,442,0.7145187601957587,18.416666666666668
Leipzig-Connewitz,232,0.3719412724306688,9.666666666666666
Leipzig-Leutzsch,123,0.19412724306688417,5.125
Leipzig-Paunsdorf,92,0.14355628058727568,3.8333333333333335
Leipzig-Plagwitz,135,0.2137030995106036,5.625
Löbau(Sachs),71,0.10929853181076672,2.9583333333333335
Markkleeberg-Großstädteln,156,0.24796084828711257,6.5
Mehltheuer,31,0.04404567699836868,1.2916666666666667
Mittelherwigsdorf,52,0.07830342577487766,2.1666666666666665
Narsdorf,38,0.05546492659053834,1.5833333333333333
Neukieritzsch,161,0.2561174551386623,6.708333333333333
Neumark(Sachs),38,0.05546492659053834,1.5833333333333333
Neustadt(Sachs),36,0.052202283849918436,1.5
Niederwiesa,142,0.22512234910277323,5.916666666666667
Oberoderwitz,41,0.06035889070146819,1.7083333333333333
Pegau,53,0.07993474714518761,2.2083333333333335
Pirna,208,0.33278955954323003,8.666666666666666
Plauen(Vogtl) ob Bf,104,0.1631321370309951,4.333333333333333
Priestewitz,101,0.15823817292006526,4.208333333333333
Radebeul Ost,120,0.18923327895595432,5.0
Radebeul-Kötzschenbroda,108,0.1696574225122349,4.5
Riesa,110,0.1729200652528548,4.583333333333333
Schönberg(Vogtl),17,0.021207177814029365,0.7083333333333334
St Egidien,85,0.13213703099510604,3.5416666666666665
Steinpleis,58,0.08809135399673736,2.4166666666666665
Plauen(Vogtl)-Straßberg,33,0.04730831973898859,1.375
Stollberg(Sachs),97,0.15171288743882544,4.041666666666667
Torgau,74,0.11419249592169659,3.0833333333333335
Waldheim,38,0.05546492659053834,1.5833333333333333
Weischlitz,59,0.08972267536704731,2.4583333333333335
Weißwasser(Oberlausitz),41,0.06035889070146819,1.7083333333333333
Werdau,95,0.14845024469820553,3.9583333333333335
Wilthen,41,0.06035889070146819,1.7083333333333333
Wittgensdorf ob Bf,38,0.05546492659053834,1.5833333333333333
Wüstenbrand,52,0.07830342577487766,2.1666666666666665
Zittau,150,0.23817292006525284,6.25
Zwickau(Sachs)Hbf,251,0.40293637846655794,10.458333333333334
Zwotental,66,0.10114192495921698,2.75
Neukirch(Lausitz)West,24,0.032626427406199025,1.0
Altenbach,76,0.11745513866231648,3.1666666666666665
Kurort Altenberg(Erzgebirge),36,0.052202283849918436,1.5
Altmittweida,41,0.06035889070146819,1.7083333333333333
Amtshainersdorf,18,0.022838499184339316,0.75
Auerbach(Vogtl) Hp,34,0.048939641109298535,1.4166666666666667
Bad Brambach,18,0.022838499184339316,0.75
Bad Elster,18,0.022838499184339316,0.75
Bad Lausick,73,0.11256117455138663,3.0416666666666665
Bärenhecke-Johnsbach,36,0.052202283849918436,1.5
"Bärenstein(b Glashütte, Sachs)",36,0.052202283849918436,1.5
Barthmühle,25,0.03425774877650897,1.0416666666666667
Beilrode,36,0.052202283849918436,1.5
Belgershain,36,0.052202283849918436,1.5
Bienenmühle,16,0.019575856443719414,0.6666666666666666
Bischheim-Gersdorf,40,0.05872756933115825,1.6666666666666667
Böhlen Werke,119,0.18760195758564438,4.958333333333333
Borna(Leipzig),80,0.1239804241435563,3.3333333333333335
Braunsdorf-Lichtenwalde,36,0.052202283849918436,1.5
Breitendorf,36,0.052202283849918436,1.5
Burgstädt,76,0.11745513866231648,3.1666666666666665
Burkhardswalde-Maxen,36,0.052202283849918436,1.5
Clausnitz,16,0.019575856443719414,0.6666666666666666
Cossebaude,41,0.06035889070146819,1.7083333333333333
Crimmitschau,57,0.08646003262642742,2.375
Dahlen(Sachs),44,0.06525285481239805,1.8333333333333333
